               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10597,            0.028545,             0.03036,           0.0030789,                0.34,           0.0066312,           0.0019993,              0.0782,            0.020275,            0.029641,              0.0874,              0.0014,              0.0014
                   1,            0.080255,            0.025182,            0.026755,             0.06974,                 0.7,             0.19724,            0.062732,            0.068426,            0.014678,            0.017473,            0.073804,           0.0028043,           0.0028043
                   2,            0.064674,            0.022894,            0.020962,              0.2311,                0.52,             0.29625,            0.085203,            0.062308,            0.010277,           0.0085501,             0.06011,           0.0041096,           0.0041096
                   3,            0.056269,            0.018065,             0.01609,              0.6794,             0.62803,             0.69086,              0.3065,            0.059434,           0.0086162,           0.0061003,            0.046316,           0.0053159,           0.0053159
                   4,            0.057443,            0.017712,            0.013222,             0.38344,                0.48,             0.34108,             0.11766,            0.059027,           0.0073198,           0.0051128,            0.032423,           0.0064232,           0.0064232
                   5,            0.054247,            0.015189,             0.01023,             0.58094,                 0.7,             0.62548,             0.28026,            0.047144,           0.0064639,           0.0037601,            0.018431,           0.0074315,           0.0074315
                   6,            0.052999,             0.01439,           0.0095169,             0.49664,               0.624,             0.60542,              0.2616,             0.06186,           0.0067086,           0.0043325,             0.00802,             0.00802,             0.00802
                   7,            0.051477,            0.014238,           0.0083453,             0.49553,             0.63907,             0.61234,             0.24151,             0.05078,           0.0069218,           0.0077037,             0.00802,             0.00802,             0.00802
                   8,            0.045787,            0.015021,            0.007715,             0.76933,             0.70737,             0.77048,             0.33147,            0.055132,           0.0054213,           0.0016534,             0.00769,             0.00769,             0.00769
                   9,            0.044546,            0.013819,           0.0069671,             0.79883,                0.62,              0.7051,             0.34029,            0.050567,           0.0067946,           0.0032211,             0.00736,             0.00736,             0.00736
                  10,            0.044257,            0.014074,           0.0059083,             0.69494,                0.58,             0.72067,              0.4046,            0.042813,           0.0058814,           0.0046293,             0.00703,             0.00703,             0.00703
                  11,            0.040768,            0.013145,            0.008027,             0.74356,                 0.7,             0.76543,             0.36393,            0.046469,            0.005709,           0.0059639,              0.0067,              0.0067,              0.0067
                  12,            0.039785,            0.012839,           0.0056651,             0.73926,             0.57649,             0.68998,             0.29428,            0.054804,           0.0054771,           0.0044882,             0.00637,             0.00637,             0.00637
                  13,            0.040037,            0.012379,           0.0053922,             0.68009,             0.68369,              0.7104,             0.42489,            0.042181,           0.0059899,           0.0068881,             0.00604,             0.00604,             0.00604
                  14,            0.040223,            0.013261,            0.004488,             0.79691,                0.74,             0.79135,             0.43754,            0.054161,            0.005065,           0.0015597,             0.00571,             0.00571,             0.00571
                  15,            0.036208,            0.012446,           0.0046095,             0.96069,                 0.8,             0.89342,             0.56839,            0.035412,           0.0047796,           0.0013185,             0.00538,             0.00538,             0.00538
                  16,            0.034827,            0.012999,           0.0056025,             0.89484,             0.81245,             0.89597,             0.62082,            0.028701,           0.0049149,            0.022068,             0.00505,             0.00505,             0.00505
                  17,            0.034437,            0.012239,           0.0052874,              0.8962,             0.87051,             0.95308,             0.68594,            0.028299,           0.0044567,           0.0019957,             0.00472,             0.00472,             0.00472
                  18,            0.033487,            0.011552,           0.0046533,             0.81779,             0.79949,             0.86177,             0.55205,            0.031815,           0.0049217,           0.0041364,             0.00439,             0.00439,             0.00439
                  19,            0.032335,            0.012296,           0.0040871,              0.9397,             0.83707,             0.94567,             0.64507,            0.025883,            0.004573,           0.0033237,             0.00406,             0.00406,             0.00406
                  20,             0.03059,            0.011295,           0.0032435,             0.97176,             0.88876,              0.9742,             0.68998,             0.02637,           0.0042102,           0.0021135,             0.00373,             0.00373,             0.00373
                  21,            0.029285,            0.012395,           0.0038954,             0.97492,             0.83185,             0.94713,              0.6907,            0.029065,           0.0042623,          0.00074674,              0.0034,              0.0034,              0.0034
                  22,            0.030075,            0.011418,           0.0054053,             0.92971,             0.90445,             0.97189,             0.68913,            0.028084,            0.004015,           0.0026409,             0.00307,             0.00307,             0.00307
                  23,            0.029981,            0.011506,           0.0037107,             0.96719,                0.88,             0.96537,             0.69535,            0.029529,           0.0038082,           0.0065851,             0.00274,             0.00274,             0.00274
                  24,            0.028481,             0.01085,           0.0036603,             0.93967,             0.93436,              0.9709,             0.72365,            0.025888,           0.0037652,           0.0052251,             0.00241,             0.00241,             0.00241
                  25,             0.02604,            0.010983,            0.002639,             0.99433,             0.89678,             0.96645,             0.74523,            0.021539,           0.0040326,           0.0011394,             0.00208,             0.00208,             0.00208
                  26,             0.02496,             0.01048,           0.0021842,             0.99723,             0.91693,             0.96797,             0.76895,            0.020238,           0.0038666,            0.001343,             0.00175,             0.00175,             0.00175
                  27,            0.024595,             0.01108,           0.0018186,             0.96466,             0.93747,             0.96972,             0.78665,              0.0182,           0.0038059,           0.0014783,             0.00142,             0.00142,             0.00142
                  28,            0.024308,            0.010556,            0.001585,             0.95857,             0.95223,              0.9766,             0.79178,            0.020045,           0.0035321,          0.00073029,             0.00109,             0.00109,             0.00109
                  29,            0.023804,            0.010699,           0.0016107,             0.95096,             0.97209,             0.98241,             0.79476,             0.02058,           0.0032219,          0.00044413,             0.00076,             0.00076,             0.00076
